profession,social_media_sleep,mood_disorder,content_type_social_media,think_time_instagram,think_time_whatsapp,think_time_twitter,think_time_facebook,think_time_youtube,think_time_linkedin,actual_time_instagram,actual_time_whatsapp,actual_time_twitter,actual_time_facebook,actual_time_youtube,actual_time_linkedin,focus_quality,binge_watch_reels,sad_content_feed,social_media_purpose,social_relationship_impact,time_loss_social_media,sleep_quality_general,refreshed_after_social_media,anxious_stressed,compare_with_others,headaches_eyestrain,trouble_sleeping_month,sleep_quality_month,social_media_before_bed,nervous_anxious,smartphone_discomfort
7,5,4,4,4,2,4,4,2,4,4,2,4,4,1,4,1,1,3,19,3,4,5,0,1,2,1,3,4,1,2,3
0,1,5,12,1,1,4,4,1,4,1,1,4,4,1,4,5,5,5,79,5,4,5,1,0,1,1,1,5,1,1,5
0,3,1,30,2,2,3,2,0,2,2,2,3,2,0,3,3,3,4,60,4,4,4,1,0,1,0,1,5,1,1,4
0,5,5,4,4,2,4,4,1,4,4,2,4,3,2,4,1,1,5,81,3,4,5,1,0,3,1,1,5,1,4,2
0,2,1,4,0,4,0,3,2,1,4,2,3,1,0,3,1,3,2,84,3,4,3,0,1,2,1,2,2,1,3,3
0,1,1,10,1,3,4,4,3,4,2,3,4,4,1,4,5,5,3,50,4,4,5,1,0,2,1,4,3,1,3,2
7,2,1,22,4,2,4,3,2,4,4,2,4,3,3,4,1,1,1,27,3,3,5,1,0,1,0,1,4,1,1,1
0,1,1,4,4,1,3,2,1,3,4,4,3,3,1,3,1,1,1,20,1,3,5,0,1,1,1,1,1,0,1,2
0,5,3,30,2,2,4,4,3,4,2,2,4,4,4,4,2,1,3,84,3,4,3,0,0,3,0,1,5,1,1,2
0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,16,1,4,1,0,0,1,0,1,5,0,1,1
7,5,3,30,2,2,4,3,1,2,1,1,3,3,1,2,4,3,3,46,4,4,4,0,0,3,1,3,4,1,2,2
0,1,1,10,4,3,4,3,4,3,4,3,4,3,4,3,1,1,1,49,1,3,1,1,1,1,1,1,1,1,1,1
7,1,1,4,1,4,0,3,2,0,0,4,1,3,2,0,3,3,1,47,1,3,4,0,0,3,0,1,1,0,1,3
7,5,3,10,3,3,4,4,3,4,3,3,4,4,3,4,3,3,5,43,3,4,4,0,0,4,1,4,4,1,3,5
0,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,1,84,3,4,5,0,0,3,1,3,3,0,3,3
7,5,5,27,3,2,4,3,2,4,2,2,4,4,2,4,4,4,3,52,2,4,2,0,1,3,1,3,3,1,3,4
0,4,5,27,3,2,2,4,1,2,2,2,1,4,1,2,4,2,4,49,4,4,4,0,0,1,1,2,4,1,2,1
7,1,4,44,4,1,0,1,2,0,4,1,4,1,1,0,2,2,3,43,3,4,4,0,0,4,1,3,4,1,3,4
7,3,3,44,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,84,3,4,5,1,0,3,1,1,5,0,1,4
0,3,3,50,4,3,3,4,1,4,4,3,4,4,1,4,1,1,1,84,2,4,3,0,1,1,0,1,3,0,1,1
0,4,5,18,2,3,4,4,1,4,1,3,4,4,1,4,2,2,5,83,5,4,3,0,1,4,1,4,3,1,2,1
0,4,5,10,4,3,4,4,3,4,4,3,4,4,3,4,2,1,1,33,3,4,4,1,0,1,0,1,5,0,1,1
7,3,2,44,4,3,4,4,3,4,4,3,4,4,3,4,3,3,2,43,3,4,3,0,0,3,1,4,3,1,3,3
0,4,4,27,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,43,2,4,3,0,0,2,1,3,3,0,3,3
0,5,5,16,2,3,4,4,4,4,2,4,4,4,4,4,5,5,5,60,5,4,1,0,1,5,1,5,1,1,5,5
0,4,4,4,4,4,4,4,3,4,2,2,2,2,3,2,2,1,1,33,2,4,4,0,1,3,1,1,1,1,2,2
0,2,1,44,4,3,4,4,2,4,2,2,4,4,4,4,5,2,3,17,3,3,5,0,0,1,0,1,5,1,1,3
0,5,3,4,4,2,4,4,2,4,4,2,4,4,2,4,2,2,1,22,1,4,4,0,0,2,1,1,5,0,2,3
0,4,1,12,3,2,4,4,4,4,3,2,4,4,4,4,4,3,5,46,1,4,4,0,0,4,1,3,5,1,3,4
